"","Source_ID","HeterotrophyScore","Predicted.trophic.mode","Genome","Phagocyte.generalist.prediction","Phagocyte.entamoebid.prediction","Phagocyte.rozellid.prediction","Prototrophy.prediction","Photosynthesis.prediction","Trophic.mode","RF.predicted.TM"
"608","MMETSP1435",-162,"Phototroph","MMETSP1435.sigModels.txt",6.21925909561901e-05,0.000315596902987007,0.00433924058721885,0.210075335165076,0.304689259196131,"Phototroph","Phototroph"
"609","MMETSP1436",-112,"Phototroph","MMETSP1436.sigModels.txt",0.019529412991732,0.0181191922362802,0.254109569561632,0.208072565602149,0.0819059049029948,"Mixotroph","Mixotroph"
"610","MMETSP1437",-390,"Phototroph","MMETSP1437.sigModels.txt",0.000996250194525473,0.00185713704439965,0.0707841295695913,0.865147151483589,0.979820910190717,"Phototroph","Phototroph"
"611","MMETSP1438",-169,"Phototroph","MMETSP1438.sigModels.txt",0.442666841949394,0.19287411721432,0.529589766576112,0.79502713304328,0.949006135792064,"Phototroph","Phototroph"
"612","MMETSP1439",-0.177316293929712,"Mixotroph","MMETSP1439.sigModels.txt",0.0271193137388525,0.0132955432902116,0.71795696148495,0.492368686000149,0.246445267855279,"Mixotroph","Mixotroph"
"613","MMETSP1440",-0.2574679943101,"Mixotroph","MMETSP1440.sigModels.txt",0.019100114271327,0.0160253881220753,0.167819078645914,0.880070059063573,0.776379855373896,"Phototroph","Phototroph"
"614","MMETSP1441",-0.248901903367496,"Mixotroph","MMETSP1441.sigModels.txt",0.0130091310728662,0.0223871205130633,0.19824076315507,0.759786954921195,0.444116420739235,"Phototroph","Phototroph"
"615","MMETSP1442",-270,"Phototroph","MMETSP1442.sigModels.txt",0.000887721940823407,0.00108689774148563,0.0441394579226524,0.834519721884682,0.86520031442364,"Phototroph","Phototroph"
"616","MMETSP1443",-344,"Phototroph","MMETSP1443.sigModels.txt",0.000902125135845405,0.00229183550325168,0.157236389349374,0.903594206690229,0.86142701189033,"Phototroph","Phototroph"
"617","MMETSP1444",-282,"Phototroph","MMETSP1444.sigModels.txt",0.386480671579951,0.256518504008327,0.631649760955034,0.941188690136661,0.978492912501906,"Phototroph","Phototroph"
"618","MMETSP1445",-294,"Phototroph","MMETSP1445.sigModels.txt",0.368133002959853,0.281898561420029,0.327913197801053,0.985367918908231,0.999859348317999,"Phototroph","Phototroph"
"619","MMETSP1446",-288,"Phototroph","MMETSP1446.sigModels.txt",0.000593673505092219,0.00219501025437314,0.00748295385087261,0.890268409404622,0.892245333812547,"Phototroph","Phototroph"
