old_mag_name	new_mag_name
IO-all-MES-0-8-5-00_bin-96	TOPAZ_IOM1_P149
IO-all-MES-0-8-5-00_bin-97	TOPAZ_IOM1_P150
IO-all-SRF-0-8-5-00_bin-1	TOPAZ_IOS1_P001
IO-all-SRF-0-8-5-00_bin-10	TOPAZ_IOS1_P002
IO-all-SRF-0-8-5-00_bin-102	TOPAZ_IOS1_P003
IO-all-SRF-0-8-5-00_bin-117	TOPAZ_IOS1_P004
IO-all-SRF-0-8-5-00_bin-119	TOPAZ_IOS1_P005
IO-all-SRF-0-8-5-00_bin-125	TOPAZ_IOS1_P006
IO-all-SRF-0-8-5-00_bin-138	TOPAZ_IOS1_P007
IO-all-SRF-0-8-5-00_bin-140	TOPAZ_IOS1_P008
IO-all-SRF-0-8-5-00_bin-143	TOPAZ_IOS1_P009
IO-all-SRF-0-8-5-00_bin-152	TOPAZ_IOS1_P010
IO-all-SRF-0-8-5-00_bin-158	TOPAZ_IOS1_P011
IO-all-SRF-0-8-5-00_bin-160	TOPAZ_IOS1_P012
IO-all-SRF-0-8-5-00_bin-164	TOPAZ_IOS1_P013
IO-all-SRF-0-8-5-00_bin-170	TOPAZ_IOS1_P014
IO-all-SRF-0-8-5-00_bin-172	TOPAZ_IOS1_P015
IO-all-SRF-0-8-5-00_bin-176	TOPAZ_IOS1_P016
IO-all-SRF-0-8-5-00_bin-18	TOPAZ_IOS1_P017
IO-all-SRF-0-8-5-00_bin-182	TOPAZ_IOS1_P018
IO-all-SRF-0-8-5-00_bin-187	TOPAZ_IOS1_P019
IO-all-SRF-0-8-5-00_bin-189	TOPAZ_IOS1_P020
IO-all-SRF-0-8-5-00_bin-190	TOPAZ_IOS1_P021
IO-all-SRF-0-8-5-00_bin-191	TOPAZ_IOS1_P022
IO-all-SRF-0-8-5-00_bin-193	TOPAZ_IOS1_P023
IO-all-SRF-0-8-5-00_bin-199	TOPAZ_IOS1_P024
IO-all-SRF-0-8-5-00_bin-2	TOPAZ_IOS1_P025
IO-all-SRF-0-8-5-00_bin-20	TOPAZ_IOS1_P026
IO-all-SRF-0-8-5-00_bin-203	TOPAZ_IOS1_P027
IO-all-SRF-0-8-5-00_bin-204	TOPAZ_IOS1_P028
IO-all-SRF-0-8-5-00_bin-206	TOPAZ_IOS1_P029
IO-all-SRF-0-8-5-00_bin-207	TOPAZ_IOS1_P030
IO-all-SRF-0-8-5-00_bin-220	TOPAZ_IOS1_P031
IO-all-SRF-0-8-5-00_bin-222	TOPAZ_IOS1_P032
IO-all-SRF-0-8-5-00_bin-225	TOPAZ_IOS1_P033
IO-all-SRF-0-8-5-00_bin-227	TOPAZ_IOS1_P034
IO-all-SRF-0-8-5-00_bin-230	TOPAZ_IOS1_P035
IO-all-SRF-0-8-5-00_bin-240	TOPAZ_IOS1_P036
IO-all-SRF-0-8-5-00_bin-245	TOPAZ_IOS1_P037
IO-all-SRF-0-8-5-00_bin-249	TOPAZ_IOS1_P038
IO-all-SRF-0-8-5-00_bin-255	TOPAZ_IOS1_P039
IO-all-SRF-0-8-5-00_bin-257	TOPAZ_IOS1_P040
