"community","Cluster","MAG"
4,"Cluster_39","SAO-all-SRF-20-180-00_bin-36"
4,"Cluster_39","IO-all-DCM-20-180-00_bin-103"
4,"Cluster_39","NAO-all-DCM-20-180-00_bin-23"
4,"Cluster_39","NPO-all-SRF-20-180-00_bin-72"
4,"Cluster_39","NPO-all-DCM-20-180-00_bin-73"
4,"Cluster_39","NAO-all-SRF-20-180-00_bin-44"
4,"Cluster_39","IO-all-SRF-20-180-00_bin-73"
4,"Cluster_39","SAO-all-DCM-20-180-00_bin-11"
4,"Cluster_39","SAO-all-SRF-20-180-00_bin-36"
4,"Cluster_39","IO-all-DCM-20-180-00_bin-103"
4,"MS-all-DCM-20-180-00_bin-48","MS-all-DCM-20-180-00_bin-48"
4,"MS-all-SRF-5-20-00_bin-24","MS-all-SRF-5-20-00_bin-24"
4,"NAO-all-SRF-5-20-00_bin-26","NAO-all-SRF-5-20-00_bin-26"
4,"NAO-all-MIX-20-180-00_bin-28","NAO-all-MIX-20-180-00_bin-28"
4,"Cluster_76","MS-all-SRF-5-20-00_bin-56"
4,"Cluster_76","SAO-all-SRF-20-180-00_bin-71"
4,"Cluster_76","SPO-SPSG-SRF-20-180-00_bin-59"
4,"Cluster_76","SPO-all-SRF-20-180-00_bin-23"
4,"Cluster_76","MS-all-SRF-180-2000-00_bin-8"
4,"Cluster_76","MS-all-SRF-20-180-00_bin-58"
4,"Cluster_76","MS-all-SRF-5-20-00_bin-56"
4,"Cluster_76","SAO-all-SRF-20-180-00_bin-71"
4,"Cluster_76","SPO-SPSG-SRF-20-180-00_bin-59"
4,"Cluster_76","SPO-all-SRF-20-180-00_bin-23"
4,"Cluster_76","MS-all-SRF-180-2000-00_bin-8"
4,"Cluster_76","MS-all-SRF-20-180-00_bin-58"
4,"Cluster_76","MS-all-SRF-5-20-00_bin-56"
4,"Cluster_76","SAO-all-SRF-20-180-00_bin-71"
4,"Cluster_76","SPO-SPSG-SRF-20-180-00_bin-59"
4,"Cluster_76","SPO-all-SRF-20-180-00_bin-23"
4,"Cluster_76","MS-all-SRF-180-2000-00_bin-8"
4,"Cluster_76","MS-all-SRF-20-180-00_bin-58"
4,"Cluster_76","MS-all-SRF-5-20-00_bin-56"
4,"Cluster_76","SAO-all-SRF-20-180-00_bin-71"
4,"Cluster_76","SPO-SPSG-SRF-20-180-00_bin-59"
4,"Cluster_76","SPO-all-SRF-20-180-00_bin-23"
4,"Cluster_76","MS-all-SRF-180-2000-00_bin-8"
4,"Cluster_76","MS-all-SRF-20-180-00_bin-58"
