"","Source_ID","Predicted.trophic.mode","Score"
"242","IO-all-SRF-0-8-5-00_bin-484","Mixotroph",192
"243","IO-all-SRF-0-8-5-00_bin-484","Phototroph",256
"244","IO-all-SRF-0-8-5-00_bin-502","Heterotroph",257
"245","IO-all-SRF-0-8-5-00_bin-502","Mixotroph",196
"246","IO-all-SRF-0-8-5-00_bin-502","Phototroph",225
"247","IO-all-SRF-0-8-5-00_bin-504","Heterotroph",232
"248","IO-all-SRF-0-8-5-00_bin-504","Mixotroph",196
"249","IO-all-SRF-0-8-5-00_bin-504","Phototroph",282
"250","IO-all-SRF-0-8-5-00_bin-529","Heterotroph",327
"251","IO-all-SRF-0-8-5-00_bin-529","Mixotroph",403
"252","IO-all-SRF-0-8-5-00_bin-529","Phototroph",498
"253","IO-all-SRF-0-8-5-00_bin-538","Heterotroph",444
"254","IO-all-SRF-0-8-5-00_bin-538","Mixotroph",598
"255","IO-all-SRF-0-8-5-00_bin-538","Phototroph",836
"256","IO-all-SRF-0-8-5-00_bin-548","Heterotroph",477
"257","IO-all-SRF-0-8-5-00_bin-548","Mixotroph",635
"258","IO-all-SRF-0-8-5-00_bin-548","Phototroph",669
"259","IO-all-SRF-0-8-5-00_bin-579","Heterotroph",405
"260","IO-all-SRF-0-8-5-00_bin-579","Mixotroph",566
"261","IO-all-SRF-0-8-5-00_bin-579","Phototroph",569
"262","IO-all-SRF-0-8-5-00_bin-591","Heterotroph",260
"263","IO-all-SRF-0-8-5-00_bin-591","Mixotroph",269
"264","IO-all-SRF-0-8-5-00_bin-591","Phototroph",359
"265","IO-all-SRF-0-8-5-00_bin-80","Heterotroph",457
"266","IO-all-SRF-0-8-5-00_bin-80","Mixotroph",597
"267","IO-all-SRF-0-8-5-00_bin-80","Phototroph",636
"268","IO-all-SRF-0-8-5-00_bin-89","Heterotroph",453
"269","IO-all-SRF-0-8-5-00_bin-89","Mixotroph",637
"270","IO-all-SRF-0-8-5-00_bin-89","Phototroph",688
"271","IO-all-SRF-180-2000-00_bin-21","Heterotroph",245
"272","IO-all-SRF-180-2000-00_bin-21","Mixotroph",112
"273","IO-all-SRF-180-2000-00_bin-21","Phototroph",183
"274","IO-all-SRF-180-2000-00_bin-30","Heterotroph",323
"275","IO-all-SRF-180-2000-00_bin-30","Mixotroph",203
"276","IO-all-SRF-180-2000-00_bin-30","Phototroph",243
"277","IO-all-SRF-180-2000-00_bin-40","Heterotroph",190
"278","IO-all-SRF-180-2000-00_bin-40","Mixotroph",102
"279","IO-all-SRF-180-2000-00_bin-40","Phototroph",196
"280","IO-all-SRF-180-2000-00_bin-43","Heterotroph",155
"281","IO-all-SRF-180-2000-00_bin-43","Mixotroph",65
"282","IO-all-SRF-180-2000-00_bin-43","Phototroph",166
"283","IO-all-SRF-180-2000-00_bin-44","Heterotroph",427
"284","IO-all-SRF-180-2000-00_bin-44","Mixotroph",652
"285","IO-all-SRF-180-2000-00_bin-44","Phototroph",704
"286","IO-all-SRF-180-2000-00_bin-48","Heterotroph",311
"287","IO-all-SRF-180-2000-00_bin-48","Mixotroph",195
"288","IO-all-SRF-180-2000-00_bin-48","Phototroph",236
"289","IO-all-SRF-180-2000-00_bin-56","Heterotroph",202
"290","IO-all-SRF-180-2000-00_bin-56","Mixotroph",107
"291","IO-all-SRF-180-2000-00_bin-56","Phototroph",198
"292","IO-all-SRF-180-2000-00_bin-58","Heterotroph",352
"293","IO-all-SRF-180-2000-00_bin-58","Mixotroph",218
"294","IO-all-SRF-180-2000-00_bin-58","Phototroph",251
"295","IO-all-SRF-180-2000-00_bin-62","Heterotroph",146
"296","IO-all-SRF-180-2000-00_bin-62","Mixotroph",62
"297","IO-all-SRF-180-2000-00_bin-62","Phototroph",167
"298","IO-all-SRF-180-2000-00_bin-7","Heterotroph",558
"299","IO-all-SRF-180-2000-00_bin-7","Mixotroph",299
"300","IO-all-SRF-180-2000-00_bin-7","Phototroph",272
"301","IO-all-SRF-180-2000-00_bin-72","Heterotroph",193
"302","IO-all-SRF-180-2000-00_bin-72","Mixotroph",95
"303","IO-all-SRF-180-2000-00_bin-72","Phototroph",172
"304","IO-all-SRF-180-2000-00_bin-79","Heterotroph",209
"305","IO-all-SRF-180-2000-00_bin-79","Mixotroph",99
"306","IO-all-SRF-180-2000-00_bin-79","Phototroph",197
"307","IO-all-SRF-180-2000-00_bin-83","Heterotroph",142
"308","IO-all-SRF-180-2000-00_bin-83","Mixotroph",67
"309","IO-all-SRF-180-2000-00_bin-83","Phototroph",171
"310","IO-all-SRF-180-2000-00_bin-90","Heterotroph",169
"311","IO-all-SRF-180-2000-00_bin-90","Mixotroph",78
"312","IO-all-SRF-180-2000-00_bin-90","Phototroph",181
"313","IO-all-SRF-180-2000-00_bin-96","Heterotroph",161
"314","IO-all-SRF-180-2000-00_bin-96","Mixotroph",75
"315","IO-all-SRF-180-2000-00_bin-96","Phototroph",177
"316","IO-all-SRF-20-180-00_bin-10","Heterotroph",174
"317","IO-all-SRF-20-180-00_bin-10","Mixotroph",82
"318","IO-all-SRF-20-180-00_bin-10","Phototroph",174
"319","IO-all-SRF-20-180-00_bin-109","Heterotroph",182
"320","IO-all-SRF-20-180-00_bin-109","Mixotroph",75
"321","IO-all-SRF-20-180-00_bin-109","Phototroph",148
"322","IO-all-SRF-20-180-00_bin-115","Heterotroph",224
"323","IO-all-SRF-20-180-00_bin-115","Mixotroph",112
"324","IO-all-SRF-20-180-00_bin-115","Phototroph",205
"325","IO-all-SRF-20-180-00_bin-119","Heterotroph",238
"326","IO-all-SRF-20-180-00_bin-119","Mixotroph",119
"327","IO-all-SRF-20-180-00_bin-119","Phototroph",207
"328","IO-all-SRF-20-180-00_bin-121","Heterotroph",390
"329","IO-all-SRF-20-180-00_bin-121","Mixotroph",198
"330","IO-all-SRF-20-180-00_bin-121","Phototroph",204
"331","IO-all-SRF-20-180-00_bin-128","Heterotroph",175
"332","IO-all-SRF-20-180-00_bin-128","Mixotroph",83
"333","IO-all-SRF-20-180-00_bin-128","Phototroph",186
"334","IO-all-SRF-20-180-00_bin-131","Heterotroph",187
"335","IO-all-SRF-20-180-00_bin-131","Mixotroph",105
"336","IO-all-SRF-20-180-00_bin-131","Phototroph",203
"337","IO-all-SRF-20-180-00_bin-144","Heterotroph",176
"338","IO-all-SRF-20-180-00_bin-144","Mixotroph",95
"339","IO-all-SRF-20-180-00_bin-144","Phototroph",190
"340","IO-all-SRF-20-180-00_bin-23","Heterotroph",164
"341","IO-all-SRF-20-180-00_bin-23","Mixotroph",77
"342","IO-all-SRF-20-180-00_bin-23","Phototroph",170
"343","IO-all-SRF-20-180-00_bin-26","Heterotroph",437
"344","IO-all-SRF-20-180-00_bin-26","Mixotroph",669
"345","IO-all-SRF-20-180-00_bin-26","Phototroph",722
"346","IO-all-SRF-20-180-00_bin-30","Heterotroph",400
"347","IO-all-SRF-20-180-00_bin-30","Mixotroph",206
"348","IO-all-SRF-20-180-00_bin-30","Phototroph",206
"349","IO-all-SRF-20-180-00_bin-36","Heterotroph",428
"350","IO-all-SRF-20-180-00_bin-36","Mixotroph",231
"351","IO-all-SRF-20-180-00_bin-36","Phototroph",229
"352","IO-all-SRF-20-180-00_bin-38","Heterotroph",161
"353","IO-all-SRF-20-180-00_bin-38","Mixotroph",76
"354","IO-all-SRF-20-180-00_bin-38","Phototroph",170
"355","IO-all-SRF-20-180-00_bin-40","Heterotroph",224
"356","IO-all-SRF-20-180-00_bin-40","Mixotroph",100
"357","IO-all-SRF-20-180-00_bin-40","Phototroph",180
"358","IO-all-SRF-20-180-00_bin-43","Heterotroph",299
"359","IO-all-SRF-20-180-00_bin-43","Mixotroph",163
"360","IO-all-SRF-20-180-00_bin-43","Phototroph",188
"361","IO-all-SRF-20-180-00_bin-53","Heterotroph",242
"362","IO-all-SRF-20-180-00_bin-53","Mixotroph",115
"363","IO-all-SRF-20-180-00_bin-53","Phototroph",189
"364","IO-all-SRF-20-180-00_bin-66","Heterotroph",230
"365","IO-all-SRF-20-180-00_bin-66","Mixotroph",133
"366","IO-all-SRF-20-180-00_bin-66","Phototroph",223
"367","IO-all-SRF-20-180-00_bin-67","Heterotroph",147
"368","IO-all-SRF-20-180-00_bin-67","Mixotroph",62
"369","IO-all-SRF-20-180-00_bin-67","Phototroph",167
"370","IO-all-SRF-20-180-00_bin-71","Heterotroph",213
"371","IO-all-SRF-20-180-00_bin-71","Mixotroph",107
"372","IO-all-SRF-20-180-00_bin-71","Phototroph",201
"373","IO-all-SRF-20-180-00_bin-73","Heterotroph",351
"374","IO-all-SRF-20-180-00_bin-73","Mixotroph",189
"375","IO-all-SRF-20-180-00_bin-73","Phototroph",238
"376","IO-all-SRF-20-180-00_bin-79","Heterotroph",161
"377","IO-all-SRF-20-180-00_bin-79","Mixotroph",68
"378","IO-all-SRF-20-180-00_bin-79","Phototroph",177
"379","IO-all-SRF-20-180-00_bin-82","Heterotroph",176
"380","IO-all-SRF-20-180-00_bin-82","Mixotroph",86
"381","IO-all-SRF-20-180-00_bin-82","Phototroph",178
"382","IO-all-SRF-20-180-00_bin-89","Heterotroph",236
"383","IO-all-SRF-20-180-00_bin-89","Mixotroph",116
"384","IO-all-SRF-20-180-00_bin-89","Phototroph",201
"385","IO-all-SRF-20-180-00_bin-92","Heterotroph",172
"386","IO-all-SRF-20-180-00_bin-92","Mixotroph",77
"387","IO-all-SRF-20-180-00_bin-92","Phototroph",167
"388","IO-all-SRF-20-180-00_bin-97","Heterotroph",260
"389","IO-all-SRF-20-180-00_bin-97","Mixotroph",134
"390","IO-all-SRF-20-180-00_bin-97","Phototroph",193
"391","IO-all-SRF-5-20-00_bin-101","Heterotroph",157
"392","IO-all-SRF-5-20-00_bin-101","Mixotroph",74
"393","IO-all-SRF-5-20-00_bin-101","Phototroph",177
"394","IO-all-SRF-5-20-00_bin-121","Heterotroph",413
