"","eukprok","mag","Domain","Clade","Kingdom","Supergroup","Phylum","Class","Order","Family","Genus","Species","community","degree","MAG","classification"
"22","prok","SPO-all-DCM-0-8-5-00_bin-596","d__Bacteria","NA","NA","NA","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__UBA10066","g__GCA-2716065","s__GCA-2716065 sp002716065",7,1,NA,NA
"23","prok","MS-all-DCM-0-8-5-00_bin-486","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Porticoccaceae","g__TMED48","s__TMED48 sp002701765",7,5,NA,NA
"24","prok","SPO-all-SRF-20-180-00_bin-147","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Cognatiyoonia","s__",3,2,NA,NA
"25","prok","SPO-PEOD-SRF-5-20-00_bin-28","d__Bacteria","NA","NA","NA","p__Cyanobacteria","c__Cyanobacteriia","o__Synechococcales","f__Cyanobiaceae","g__Synechococcus_C","s__Synechococcus_C sp002687115",3,4,NA,NA
"26","prok","NAO-all-SRF-0-8-5-00_bin-362","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__UBA8366","f__UBA8366","g__GCA-002724395","s__GCA-002724395 sp002724395",7,6,NA,NA
"27","prok","SAO-all-SRF-20-180-00_bin-8","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__","g__","s__",1,15,NA,NA
"28","prok","SPO-all-DCM-0-8-5-00_bin-339","d__Bacteria","NA","NA","NA","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Roseibacillus","s__Roseibacillus sp002715825",3,4,NA,NA
"29","prok","MS-all-SRF-0-8-5-00_bin-572","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Halieaceae","g__Luminiphilus","s__",7,10,NA,NA
"30","prok","MS-all-SRF-0-8-5-00_bin-65","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__SG8-40","g__UBA3031","s__UBA3031 sp002167745",7,8,NA,NA
"31","prok","NPO-all-SRF-180-2000-00_bin-31","d__Bacteria","NA","NA","NA","p__Cyanobacteria","c__Cyanobacteriia","o__Synechococcales","f__Cyanobiaceae","g__Synechococcus_C","s__Synechococcus_C sp002687115",3,3,NA,NA
"32","prok","SPO-all-SRF-20-180-00_bin-249","d__Bacteria","NA","NA","NA","p__Cyanobacteria","c__Cyanobacteriia","o__Synechococcales","f__Cyanobiaceae","g__","s__",3,1,NA,NA
"33","prok","NPO-all-MES-0-8-5-00_bin-96","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__GCA-2729495","f__GCA-2729495","g__GCA-2729495","s__",1,7,NA,NA
"34","prok","SPO-all-DCM-0-8-5-00_bin-247","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__TMED109","f__TMED131","g__TMED62","s__",7,4,NA,NA
"35","prok","IO-all-MES-0-8-5-00_bin-132","d__Bacteria","NA","NA","NA","p__Myxococcota","c__UBA796","o__UBA9615","f__","g__","s__",2,7,NA,NA
"36","prok","IO-all-DCM-0-8-5-00_bin-167","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__GCA-002705045","s__",7,5,NA,NA
"37","prok","SPO-PEOD-SRF-0-8-5-00_bin-69","d__Bacteria","NA","NA","NA","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__UBA1096","g__UBA1096","s__UBA1096 sp002453165",7,2,NA,NA
"38","prok","MS-all-SRF-0-8-5-00_bin-450","d__Bacteria","NA","NA","NA","p__Marinisomatota","c__Marinisomatia","o__Marinisomatales","f__TCS55","g__","s__",7,7,NA,NA
"39","prok","MS-all-SRF-0-8-5-00_bin-481","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Puniceispirillales","f__GCA-002684695","g__GCA-002684695","s__",7,7,NA,NA
"40","prok","SPO-CHIL-SRF-0-8-5-00_bin-308","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Pelagibacterales","f__Pelagibacteraceae","g__Pelagibacter_A","s__",7,9,NA,NA
"41","prok","MS-all-DCM-0-8-5-00_bin-335","d__Bacteria","NA","NA","NA","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__UBA1096","g__UBA1096","s__UBA1096 sp002453165",7,4,NA,NA
"42","prok","MS-all-SRF-0-8-5-00_bin-513","d__Bacteria","NA","NA","NA","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__UBA3478","s__",7,6,NA,NA
"43","prok","SPO-SPSG-SRF-0-8-5-00_bin-380","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__TMED109","f__TMED109","g__TMED109","s__TMED109 sp002720535",7,4,NA,NA
"44","prok","SAO-all-DCM-0-8-5-00_bin-487","d__Bacteria","NA","NA","NA","p__Myxococcota","c__UBA796","o__UBA796","f__UBA796","g__UBA796","s__",4,7,NA,NA
"45","prok","MS-all-DCM-0-8-5-00_bin-669","d__Bacteria","NA","NA","NA","p__Actinobacteriota","c__Acidimicrobiia","o__Microtrichales","f__UBA8592","g__MedAcidi-G2A","s__MedAcidi-G2A sp002171605",4,13,NA,NA
"46","prok","SPO-SPSG-SRF-20-180-00_bin-138","d__Bacteria","NA","NA","NA","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Saprospiraceae","g__","s__",1,5,NA,NA
"47","prok","MS-all-DCM-0-8-5-00_bin-618","d__Bacteria","NA","NA","NA","p__Myxococcota","c__UBA796","o__UBA796","f__","g__","s__",4,5,NA,NA
"48","prok","RS-all-DCM-0-8-5-00_bin-3","d__Bacteria","NA","NA","NA","p__Chloroflexota","c__Dehalococcoidia","o__UBA2979","f__UBA2979","g__UBA2979","s__UBA2979 sp002725365",7,4,NA,NA
"49","prok","MS-all-DCM-0-8-5-00_bin-376","d__Bacteria","NA","NA","NA","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__MS024-2A","s__",7,5,NA,NA
"50","prok","SPO-all-SRF-0-8-5-00_bin-917","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__HIMB11","s__HIMB11 sp002711145",7,3,NA,NA
"51","prok","SAO-all-SRF-0-8-5-00_bin-528","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__UBA10353","f__UBA7415","g__UBA7415","s__UBA7415 sp002470515",2,2,NA,NA
